Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Image Position,Variant Metafield: custom.source_url
on-your-wrist-ssc941-ssc941,On your wrist - SSC941 SSC941,"<div class='product-specs'><table style=""width:100%;max-width:800px;border-collapse:collapse;font-family:Arial,sans-serif;font-size:13px;border:1px solid #000;""><tbody><tr><td colspan=""2"" style=""padding:8px 10px;border:1px solid #000;background:#999;font-weight:bold;text-align:center;font-size:15px;color:#000;"">Item Specification</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Brand</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">Seiko</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Model</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">SSC941</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Movement</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">Solar Chronograph</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Case Material</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">Two-tone stainless steel case</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Diameter</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">41.4 mm</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Water Resistance</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">10 bar, 100 meters (330 feet)</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Lug Width</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">21 mm</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Strap</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">Stainless steel bracelet</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Features</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;""><ul><li>Seiko Speedtimer Solar Chronograph</li><li>Design inspired by the 1969 Speedtimer and the classic motorsports of the 1970s</li><li>Black dial with gold accents</li><li>Black tachymeter bezel with gold accents</li><li>Chronograph measures up to 60 minutes of elapsed time in 1/5-second increments with split time measurement function</li><li>Date calendar</li><li>24-hour subdial</li><li>LumiBrite hands and markers</li><li>Screwdown caseback</li><li>Tri-fold push button release clasp</li></ul></td></tr></tbody></table></div>
<br>
<div><strong>Easy Returns</strong></div>
<p>This item can be returned within 7 days.&nbsp;<a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
<div><strong>USA Shipping</strong></div>
<p>All of our items ship from the United States.&nbsp;<a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
<div><br></div>
<div><br></div>
",Seiko,Wristwatches,"seiko, japanese-watch, watches",FALSE,Title,Default Title,SSC941,785.00,outputs\seiko\images\ssc941\SSC941_1.png,1,https://seikousa.com/collections/mens/products/ssc941
on-your-wrist-ssc941-ssc941,,,,,,,,,,,outputs\seiko\images\ssc941\SSC941_2.png,2,
on-your-wrist-ssc941-ssc941,,,,,,,,,,,outputs\seiko\images\ssc941\SSC941_3.png,3,
on-your-wrist-ssc941-ssc941,,,,,,,,,,,outputs\seiko\images\ssc941\SSC941_4.png,4,
on-your-wrist-ssc941-ssc941,,,,,,,,,,,outputs\seiko\images\ssc941\SSC941_5.png,5,
on-your-wrist-ssc929-ssc929,On your wrist - SSC929 SSC929,"<div class='product-specs'><table style=""width:100%;max-width:800px;border-collapse:collapse;font-family:Arial,sans-serif;font-size:13px;border:1px solid #000;""><tbody><tr><td colspan=""2"" style=""padding:8px 10px;border:1px solid #000;background:#999;font-weight:bold;text-align:center;font-size:15px;color:#000;"">Item Specification</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Brand</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">Seiko</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Model</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">SSC929</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Movement</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">Solar Chronograph</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Case Material</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">Stainless steel case</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Diameter</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">41.4 mm</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Water Resistance</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">10 bar, 100 meters (330 feet)</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Lug Width</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">21 mm</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Strap</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;"">Stainless steel bracelet</td></tr><tr><td style=""width:25%;min-width:110px;padding:5px 8px;border:1px solid #000;font-weight:bold;background:#f2f2f2;vertical-align:middle;"">Features</td><td style=""padding:5px 8px;border:1px solid #000;vertical-align:middle;""><ul><li>Seiko Speedtimer Solar Chronograph U.S. Special Edition</li><li>Design inspired by Seiko's 1969 Speedtimer, one of the world's first automatic chronographs</li><li>Chronograph measures up to 60 minutes of elapsed time in 1/5-second increments with split time measurement function</li><li>Bright yellow dial inspired by the colors of vintage automobiles</li><li>Date calendar</li><li>24-hour subdial</li><li>Power reserve indicator</li><li>Red chronograph seconds hand</li><li>LumiBrite hands and markers</li><li>Black tachymeter bezel</li><li>Screwdown caseback</li><li>Tri-fold push button release clasp</li></ul></td></tr></tbody></table></div>
<br>
<div><strong>Easy Returns</strong></div>
<p>This item can be returned within 7 days.&nbsp;<a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
<div><strong>USA Shipping</strong></div>
<p>All of our items ship from the United States.&nbsp;<a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
<div><br></div>
<div><br></div>
",Seiko,Wristwatches,"seiko, japanese-watch, watches",FALSE,Title,Default Title,SSC929,750.00,outputs\seiko\images\ssc929\SSC929_1.png,1,https://seikousa.com/collections/mens/products/ssc929
on-your-wrist-ssc929-ssc929,,,,,,,,,,,outputs\seiko\images\ssc929\SSC929_2.png,2,
on-your-wrist-ssc929-ssc929,,,,,,,,,,,outputs\seiko\images\ssc929\SSC929_3.png,3,
on-your-wrist-ssc929-ssc929,,,,,,,,,,,outputs\seiko\images\ssc929\SSC929_4.png,4,
on-your-wrist-ssc929-ssc929,,,,,,,,,,,outputs\seiko\images\ssc929\SSC929_5.png,5,
