handle,title,sku,price,vendor,type,tags,source_url,first_seen,last_seen,run_count,status
museum-bangle,Museum Bangle,0608072,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/museum-bangle-0608072.html,20260311_193522,20260421_153146,2,active
heritage-1917,Heritage 1917,3650247,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/heritage-1917-3650247.html,20260311_193522,20260311_193522,1,active
heritage-1917,Heritage 1917,3650253,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/heritage-1917-3650253.html,20260311_193522,20260311_193522,1,active
bold-evolution-2-0-chronograph,BOLD Evolution 2.0 Chronograph,3601265,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/bold-evolution-2.0-chronograph-3601265.html,20260311_193522,20260311_193522,1,active
heritage-1917,Heritage 1917,3650249,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Women's Watches",https://www.movado.com/us/en/shop-watches/heritage-1917-3650249.html,20260311_193522,20260311_193522,1,active
heritage-1917,Heritage 1917,3650257,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Men's Watches",https://www.movado.com/us/en/shop-watches/heritage-1917-3650257.html,20260311_193522,20260311_193522,1,active
museum-classic-chronograph,Museum Classic Chronograph,0607777,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Men's Watches",https://www.movado.com/us/en/shop-watches/museum-classic-chronograph-0607777.html,20260311_193522,20260311_193522,1,active
museum-imperiale,Museum Imperiale,0608048,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Men's Watches",https://www.movado.com/us/en/shop-watches/museum-imperiale-0608048.html,20260311_193522,20260311_193522,1,active
museum-imperiale,Museum Imperiale,0608054,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/museum-imperiale-0608054.html,20260311_193522,20260311_193522,1,active
bold-fusion-chronograph,BOLD Fusion Chronograph,3601240,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/bold-fusion-chronograph-3601240.html,20260311_193522,20260311_193522,1,active
heritage-calendoplan-s-chronograph,Heritage Calendoplan S Chronograph,3650126,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Men's Watches",https://www.movado.com/us/en/shop-watches/heritage-calendoplan-s-chronograph-3650126.html,20260311_193522,20260311_193522,1,active
bold-quest-mini,BOLD Quest Mini,3601294,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Women's Watches",https://www.movado.com/us/en/shop-watches/bold-quest-mini-3601294.html,20260311_193522,20260311_193522,1,active
heritage-1917,Heritage 1917,3650246,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Women's Watches",https://www.movado.com/us/en/shop-watches/heritage-1917-3650246.html,20260311_193522,20260311_193522,1,active
face,Face,3640155,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/face-3640155.html,20260311_193522,20260311_193522,1,active
series-800-chronograph,Series 800 Chronograph,2600194,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Men's Watches",https://www.movado.com/us/en/shop-watches/series-800-chronograph-2600194.html,20260311_193522,20260311_193522,1,active
heritage-calendoplan-chronograph,Heritage Calendoplan Chronograph,3650148,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Men's Watches",https://www.movado.com/us/en/shop-watches/heritage-calendoplan-chronograph-3650148.html,20260311_193522,20260311_193522,1,active
bold-verso-chronograph,BOLD Verso Chronograph,3600907,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/bold-verso-chronograph-3600907.html,20260311_193522,20260311_193522,1,active
face,Face,3640140,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/face-3640140.html,20260311_193522,20260311_193522,1,active
bold-evolution-2-0,BOLD Evolution 2.0,3601300,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Women's Watches",https://www.movado.com/us/en/shop-watches/bold-evolution-2.0-3601300.html,20260311_193522,20260311_193522,1,active
bold-tr90,BOLD TR90,3601417,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Men's Watches",https://www.movado.com/us/en/shop-watches/bold-tr90-3601417.html,20260311_193522,20260311_193522,1,active
face,Face,3640112,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Men's Watches",https://www.movado.com/us/en/shop-watches/face-3640112.html,20260311_193522,20260311_193522,1,active
bold-fusion-chronograph,BOLD Fusion Chronograph,3601307,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Men's Watches",https://www.movado.com/us/en/shop-watches/bold-fusion-chronograph-3601307.html,20260311_193522,20260311_193522,1,active
1881-automatic,1881 Automatic,0607620,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/1881-automatic-0607620.html,20260311_193522,20260311_193522,1,active
bold-verso-chronograph,BOLD Verso Chronograph,3600867,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Men's Watches",https://www.movado.com/us/en/shop-watches/bold-verso-chronograph-3600867.html,20260311_193522,20260311_193522,1,active
face,Face,3640113,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado, Women's Watches",https://www.movado.com/us/en/shop-watches/face-3640113.html,20260311_193522,20260311_193522,1,active
bold-evolution-2-0-mini,BOLD Evolution 2.0 Mini,3601328,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/bold-evolution-2.0-mini-3601328.html,20260421_153146,20260421_153146,1,active
bold-verso-s,BOLD Verso S,3601392,895.00,Movado,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",https://www.movado.com/us/en/shop-watches/bold-verso-s-3601392.html,20260421_153146,20260421_153146,1,active
