Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Band Material (product.metafields.custom.band_material),Case Color (product.metafields.custom.case_color),Department (product.metafields.custom.department),Dial Color (product.metafields.custom.dial_color),Display (product.metafields.custom.display),Frame Color (product.metafields.custom.frame_color),Increased Price (product.metafields.custom.increased_price),Lug Width (product.metafields.custom.lug_width),Product Source URL (product.metafields.custom.product_source_url),Water Resistance (product.metafields.custom.water_resistance),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Band color (product.metafields.shopify.band-color),Barware material (product.metafields.shopify.barware-material),Case color (product.metafields.shopify.case-color),Clothing accessory material (product.metafields.shopify.clothing-accessory-material),Color (product.metafields.shopify.color-pattern),Connectivity technology (product.metafields.shopify.connectivity-technology),Dial color (product.metafields.shopify.dial-color),Dispenser type (product.metafields.shopify.dispenser-type),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Eyewear frame material (product.metafields.shopify.eyewear-frame-material),Eyewear lens material (product.metafields.shopify.eyewear-lens-material),Fabric (product.metafields.shopify.fabric),Hardware material (product.metafields.shopify.hardware-material),Knife type (product.metafields.shopify.knife-type),Lens polarization (product.metafields.shopify.lens-polarization),Lens type (product.metafields.shopify.lens-type),Lock type (product.metafields.shopify.lock-type),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Optical frame design (product.metafields.shopify.optical-frame-design),Season (product.metafields.shopify.season),Target gender (product.metafields.shopify.target-gender),Wallet features (product.metafields.shopify.wallet-features),Watch accessory style (product.metafields.shopify.watch-accessory-style),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Watch material (product.metafields.shopify.watch-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
seiko-sseh021,Seiko SSEH021,"<br><br><table style=""width:100%; border-collapse:collapse;""><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Brand</td><td style=""border:1px solid #ddd; padding:8px;"">Seiko</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Model</td><td style=""border:1px solid #ddd; padding:8px;"">SSEH021</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Movement</td><td style=""border:1px solid #ddd; padding:8px;"">Quartz</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Case Material</td><td style=""border:1px solid #ddd; padding:8px;"">Stainless steel case</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Diameter</td><td style=""border:1px solid #ddd; padding:8px;"">20.2 mm</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Thickness</td><td style=""border:1px solid #ddd; padding:8px;"">6.7 mm</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Water Resistance</td><td style=""border:1px solid #ddd; padding:8px;"">3 bar, 30 meters (100 feet)</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Lug Width</td><td style=""border:1px solid #ddd; padding:8px;"">2 mm</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Strap</td><td style=""border:1px solid #ddd; padding:8px;"">Jewelry inspired stainless steel bracelet</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Dial Color</td><td style=""border:1px solid #ddd; padding:8px;"">Silver</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Crystal</td><td style=""border:1px solid #ddd; padding:8px;"">Hardlex crystal</td></tr></table><br><br>
<div><strong>Easy Returns</strong></div>
<p>This item can be returned within 7 days.&nbsp;<a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
<div><strong>USA Shipping</strong></div>
<p>All of our items ship from the United States.&nbsp;<a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
<div><br></div>
<div><br></div>
",Seiko,,Watch,"seiko, japanese-watch, watches",FALSE,Title,Default Title,,,,,,,,SSEH021,90,shopify,deny,manual,370,,TRUE,TRUE,,,,,,outputs\seiko\listing\20260420_212624\images\sseh021\processed\SSEH021_1.webp,1,Seiko SSEH021_1,FALSE,,,Jewelry inspired stainless steel bracelet,Stainless steel case,Women,Silver,,,,,https://seikousa.com/products/sseh021,"3 bar, 30 meters (100 feet)",,,adults,,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,g,,,draft
seiko-sseh021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\seiko\listing\20260420_212624\images\sseh021\processed\SSEH021_2.webp,2,Seiko SSEH021_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-sseh021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\seiko\listing\20260420_212624\images\sseh021\processed\SSEH021_3.webp,3,Seiko SSEH021_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-sseh021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\seiko\listing\20260420_212624\images\sseh021\processed\SSEH021_4.webp,4,Seiko SSEH021_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-sseh023,Seiko SSEH023,"<br><br><table style=""width:100%; border-collapse:collapse;""><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Brand</td><td style=""border:1px solid #ddd; padding:8px;"">Seiko</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Model</td><td style=""border:1px solid #ddd; padding:8px;"">SSEH023</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Movement</td><td style=""border:1px solid #ddd; padding:8px;"">Quartz</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Case Material</td><td style=""border:1px solid #ddd; padding:8px;"">Stainless steel case with black hard coating</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Diameter</td><td style=""border:1px solid #ddd; padding:8px;"">20.2 mm</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Thickness</td><td style=""border:1px solid #ddd; padding:8px;"">6.7 mm</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Water Resistance</td><td style=""border:1px solid #ddd; padding:8px;"">3 bar, 30 meters (100 feet)</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Lug Width</td><td style=""border:1px solid #ddd; padding:8px;"">2 mm</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Strap</td><td style=""border:1px solid #ddd; padding:8px;"">Jewelry inspired stainless steel bracelet with black hard coating</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Dial Color</td><td style=""border:1px solid #ddd; padding:8px;"">Black</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Crystal</td><td style=""border:1px solid #ddd; padding:8px;"">Hardlex crystal</td></tr></table><br><br>
<div><strong>Easy Returns</strong></div>
<p>This item can be returned within 7 days.&nbsp;<a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
<div><strong>USA Shipping</strong></div>
<p>All of our items ship from the United States.&nbsp;<a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
<div><br></div>
<div><br></div>
",Seiko,,Watch,"seiko, japanese-watch, watches",FALSE,Title,Default Title,,,,,,,,SSEH023,90,shopify,deny,manual,410,,TRUE,TRUE,,,,,,outputs\seiko\listing\20260420_212624\images\sseh023\processed\SSEH023_1.webp,1,Seiko SSEH023_1,FALSE,,,Jewelry inspired stainless steel bracelet with black hard coating,Stainless steel case with black hard coating,Women,Black,,,,,https://seikousa.com/products/sseh023,"3 bar, 30 meters (100 feet)",,,adults,,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,g,,,draft
seiko-sseh023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\seiko\listing\20260420_212624\images\sseh023\processed\SSEH023_2.webp,2,Seiko SSEH023_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-srpl83,Seiko SRPL83,"<br><br><table style=""width:100%; border-collapse:collapse;""><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Brand</td><td style=""border:1px solid #ddd; padding:8px;"">Seiko</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Model</td><td style=""border:1px solid #ddd; padding:8px;"">SRPL83</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Movement</td><td style=""border:1px solid #ddd; padding:8px;"">Automatic</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Case Material</td><td style=""border:1px solid #ddd; padding:8px;"">Stainless steel case</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Diameter</td><td style=""border:1px solid #ddd; padding:8px;"">42.5 mm</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Thickness</td><td style=""border:1px solid #ddd; padding:8px;"">13.9 mm</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Water Resistance</td><td style=""border:1px solid #ddd; padding:8px;"">10 bar, 100 meters (330 feet)</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Lug Width</td><td style=""border:1px solid #ddd; padding:8px;"">22 mm</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Strap</td><td style=""border:1px solid #ddd; padding:8px;"">Stainless steel bracelet</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Dial Color</td><td style=""border:1px solid #ddd; padding:8px;"">Blue</td></tr><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Crystal</td><td style=""border:1px solid #ddd; padding:8px;"">Curved Hardlex crystal</td></tr></table><br><br>
<div><strong>Easy Returns</strong></div>
<p>This item can be returned within 7 days.&nbsp;<a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
<div><strong>USA Shipping</strong></div>
<p>All of our items ship from the United States.&nbsp;<a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
<div><br></div>
<div><br></div>
",Seiko,,Watch,"seiko, japanese-watch, watches",FALSE,Title,Default Title,,,,,,,,SRPL83,90,shopify,deny,manual,450,,TRUE,TRUE,,,,,,outputs\seiko\listing\20260420_212624\images\srpl83\processed\SRPL83_1.webp,1,Seiko SRPL83_1,FALSE,,,Stainless steel bracelet,Stainless steel case,,Blue,,,,,https://seikousa.com/products/srpl83,"10 bar, 100 meters (330 feet)",,,adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,draft
seiko-srpl83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\seiko\listing\20260420_212624\images\srpl83\processed\SRPL83_2.webp,2,Seiko SRPL83_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-srpl83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\seiko\listing\20260420_212624\images\srpl83\processed\SRPL83_3.webp,3,Seiko SRPL83_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-srpl83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\seiko\listing\20260420_212624\images\srpl83\processed\SRPL83_4.webp,4,Seiko SRPL83_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
