Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Band Material (product.metafields.custom.band_material),Case Color (product.metafields.custom.case_color),Department (product.metafields.custom.department),Dial Color (product.metafields.custom.dial_color),Display (product.metafields.custom.display),Frame Color (product.metafields.custom.frame_color),Increased Price (product.metafields.custom.increased_price),Lug Width (product.metafields.custom.lug_width),Product Source URL (product.metafields.custom.product_source_url),Water Resistance (product.metafields.custom.water_resistance),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Band color (product.metafields.shopify.band-color),Barware material (product.metafields.shopify.barware-material),Case color (product.metafields.shopify.case-color),Clothing accessory material (product.metafields.shopify.clothing-accessory-material),Color (product.metafields.shopify.color-pattern),Connectivity technology (product.metafields.shopify.connectivity-technology),Dial color (product.metafields.shopify.dial-color),Dispenser type (product.metafields.shopify.dispenser-type),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Eyewear frame material (product.metafields.shopify.eyewear-frame-material),Eyewear lens material (product.metafields.shopify.eyewear-lens-material),Fabric (product.metafields.shopify.fabric),Hardware material (product.metafields.shopify.hardware-material),Knife type (product.metafields.shopify.knife-type),Lens polarization (product.metafields.shopify.lens-polarization),Lens type (product.metafields.shopify.lens-type),Lock type (product.metafields.shopify.lock-type),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Optical frame design (product.metafields.shopify.optical-frame-design),Season (product.metafields.shopify.season),Target gender (product.metafields.shopify.target-gender),Wallet features (product.metafields.shopify.wallet-features),Watch accessory style (product.metafields.shopify.watch-accessory-style),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Watch material (product.metafields.shopify.watch-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
seiko-prospex-blue-blue-silicone-strap-mens-watch-srpl81,Seiko Prospex Blue Blue Silicone Strap Men's Watch Srpl81,"<div><strong>Seiko Prospex Blue Blue Silicone Strap Men's Watch Srpl81</strong></div>
 <div><br></div>
 <table border=""1"" cellpadding=""0"" cellspacing=""0"" dir=""ltr"" style=""width: 100% !important; max-width: 800px; border-collapse: collapse !important; border: 1px solid #000; font-family: Arial, sans-serif; font-size: 13px; table-layout: auto;"">
 <tbody>
 <tr style=""height: 21px;"">
 <td colspan=""2"" style=""border: 1px solid #000; padding: 6px; background-color: #999999; font-weight: bold; text-align: center; font-size: 15px; vertical-align: middle; color: #000; height: 21px;"">Item Specification</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Brand</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Seiko</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Crystal</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Sapphire crystal with anti-reflective coating on the inner surface</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Resistance</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">200 meters (660 feet), suitable for scuba diving</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Movement</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Automatic Caliber 4R36 21,600 <br>vibrations per hour 24 <br>jewels <br><strong>Power reserve:</strong> approximately 41 hours</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Case Material</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Stainless steel case</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Dial Color</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Blue</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Strap</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Blue silicone strap</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Lug Width</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">22 mm</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Diameter</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">45 mm</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Thickness</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">13.2 mm</td>
 </tr>
 <tr>
<td style=""border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Features</td>
<td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;""><ul style=""margin:0; padding-left:15px;"">
<li>Prospex JAWS 50th Anniversary Limited Edition</li>
<li>Limited Edition of 5,000</li>
<li>Production serial number engraved on caseback</li>
<li>Blue and white ombre dial with a pattern depicting a memorable scene from the film</li>
<li>JAWS logo printed on the dial at 6 o'clock</li>
<li>Blue ceramic unidirectional rotating elapsed timing bezel</li>
<li>Caseback is marked with the image of the ""Orca"" the boat made famous by the film and a shark's dorsal fin piercing the water's surface</li>
<li>Automatic diver with manual winding capability</li>
<li>Day/date calendar with day in both English and Kanji</li>
<li>LumiBrite hands and markers</li>
<li>Screwdown crown</li>
<li>Presented in a Limited Edition collector's box</li>
</ul></td>
</tr>
</tbody>
 </table>
 <br>
 <div><strong>Easy Returns</strong></div>
 <p>This item can be returned within 7 days.<span> </span><a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
 <div><strong>USA Shipping</strong></div>
 <p>All of our items ship from the United States.<span> </span><a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
 <div>
 <div><br></div>
 <div><br></div>
 </div>",Seiko,Apparel & Accessories > Jewelry > Watches,Wristwatches,"Jewelry & Watches, Parts & Accessories, seiko, SwiftCommerce_Seiko, Watches, Wristwatches",FALSE,Title,Default Title,,,,,,,,,90,shopify,deny,manual,795,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0080/6662/9747/files/SRPL81_1.webp?v=1772022474,1,Seiko Prospex Blue Blue Silicone Strap Men's Watch Srpl81_1,FALSE,,,Blue silicone strap,Stainless steel case,Men,Blue,,,,22 mm,https://seikousa.com/collections/all/products/srpl81,"200 meters (660 feet), suitable for scuba diving",,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,g,,,draft
seiko-prospex-blue-blue-silicone-strap-mens-watch-srpl81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0080/6662/9747/files/SRPL81_2.webp?v=1772022474,2,Seiko Prospex Blue Blue Silicone Strap Men's Watch Srpl81_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-prospex-blue-blue-silicone-strap-mens-watch-srpl81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0080/6662/9747/files/SRPL81_3.webp?v=1772022474,3,Seiko Prospex Blue Blue Silicone Strap Men's Watch Srpl81_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-prospex-blue-blue-silicone-strap-mens-watch-srpl81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0080/6662/9747/files/SRPL81_4.webp?v=1772022475,4,Seiko Prospex Blue Blue Silicone Strap Men's Watch Srpl81_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-5-sports-gray-stainless-steel-bracelet-mens-watch-srpl79,Seiko 5 Sports Gray Stainless Steel Bracelet Men's Watch Srpl79,"<div><strong>Seiko 5 Sports SRPL79</strong></div>
 <div><br></div>
 <table border=""1"" cellpadding=""0"" cellspacing=""0"" dir=""ltr"" style=""width: 100% !important; max-width: 800px; border-collapse: collapse !important; border: 1px solid #000; font-family: Arial, sans-serif; font-size: 13px; table-layout: auto;"">
 <tbody>
 <tr style=""height: 21px;"">
 <td colspan=""2"" style=""border: 1px solid #000; padding: 6px; background-color: #999999; font-weight: bold; text-align: center; font-size: 15px; vertical-align: middle; color: #000; height: 21px;"">Item Specification</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Brand</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Seiko</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Crystal</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Hardlex crystal</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Resistance</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">10 bar, 100 meters (330 feet)</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Movement</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Automatic Caliber 4R36 21,600 <br>vibrations per hour 24 <br>jewels <br><strong>Power reserve:</strong> approximately 41 hours</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Case Material</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Stainless steel case</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Dial Color</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Gray</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Strap</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Stainless steel bracelet</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Lug Width</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">20 mm</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Diameter</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">38 mm</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Thickness</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">12.1 mm</td>
 </tr>
 <tr>
<td style=""border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Features</td>
<td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;""><ul style=""margin:0; padding-left:15px;"">
<li>Seiko 5 Sports SKX Mid-Size</li>
<li>Automatic with manual winding capability</li>
<li>Black uni-directional rotating bezel</li>
<li>Charcoal dial with gold accents</li>
<li>Day/date calendar</li>
<li>Luminous hands and markers</li>
<li>Screwdown see-through caseback</li>
<li>Tri-fold push button release clasp with secure lock</li>
</ul></td>
</tr>
</tbody>
 </table>
 <br>
 <div><strong>Easy Returns</strong></div>
 <p>This item can be returned within 7 days.<span> </span><a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
 <div><strong>USA Shipping</strong></div>
 <p>All of our items ship from the United States.<span> </span><a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
 <div>
 <div><br></div>
 <div><br></div>
 </div>",Seiko,Apparel & Accessories > Jewelry > Watches,Wristwatches,"Jewelry & Watches, Parts & Accessories, seiko, SwiftCommerce_Seiko, Watches, Wristwatches",FALSE,Title,Default Title,,,,,,,,'4954628256195,90,shopify,deny,manual,350,,TRUE,TRUE,,,,,'4954628256195,https://cdn.shopify.com/s/files/1/0080/6662/9747/files/SRPL79_1.webp?v=1772022473,1,Seiko 5 Sports Gray Stainless Steel Bracelet Men's Watch Srpl79_1,FALSE,,,Stainless steel bracelet,Stainless steel case,Men,Gray,,,,20 mm,https://seikousa.com/collections/all/products/srpl79,"10 bar, 100 meters (330 feet)",,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,g,,,draft
seiko-5-sports-gray-stainless-steel-bracelet-mens-watch-srpl79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0080/6662/9747/files/SRPL79_2.webp?v=1772022473,2,Seiko 5 Sports Gray Stainless Steel Bracelet Men's Watch Srpl79_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-5-sports-gray-stainless-steel-bracelet-mens-watch-srpl79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0080/6662/9747/files/SRPL79_3.webp?v=1772022473,3,Seiko 5 Sports Gray Stainless Steel Bracelet Men's Watch Srpl79_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-5-sports-gray-stainless-steel-bracelet-mens-watch-srpl79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0080/6662/9747/files/SRPL79_4.webp?v=1772022473,4,Seiko 5 Sports Gray Stainless Steel Bracelet Men's Watch Srpl79_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-5-sports-gray-stainless-steel-bracelet-mens-watch-srpl79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0080/6662/9747/files/SRPL79_5.webp?v=1772022473,5,Seiko 5 Sports Gray Stainless Steel Bracelet Men's Watch Srpl79_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiko-5-sports-blue-stainless-steel-bracelet-mens-watch-srpl77,Seiko 5 Sports Blue Stainless Steel Bracelet Men's Watch Srpl77,"<div><strong>Seiko 5 Sports Blue Stainless Steel Bracelet Men's Watch Srpl77</strong></div>
 <div><br></div>
 <table border=""1"" cellpadding=""0"" cellspacing=""0"" dir=""ltr"" style=""width: 100% !important; max-width: 800px; border-collapse: collapse !important; border: 1px solid #000; font-family: Arial, sans-serif; font-size: 13px; table-layout: auto;"">
 <tbody>
 <tr style=""height: 21px;"">
 <td colspan=""2"" style=""border: 1px solid #000; padding: 6px; background-color: #999999; font-weight: bold; text-align: center; font-size: 15px; vertical-align: middle; color: #000; height: 21px;"">Item Specification</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Brand</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Seiko</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Crystal</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Hardlex crystal</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Resistance</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">10 bar, 100 meters (330 feet)</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Movement</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Automatic Caliber 4R36 21,600 <br>vibrations per hour 24 <br>jewels <br><strong>Power reserve:</strong> approximately 41 hours</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Case Material</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Stainless steel case</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Dial Color</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Blue</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Strap</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">Stainless steel bracelet</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Lug Width</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">20 mm</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Diameter</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">38 mm</td>
 </tr>
 <tr style=""height: 18.2px;"">
 <td style=""width: 25% !important; min-width: 110px; border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Thickness</td>
 <td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;"">12.1 mm</td>
 </tr>
 <tr>
<td style=""border: 1px solid #000; padding: 5px 8px; background-color: #f2f2f2; font-weight: bold; vertical-align: middle;"">Features</td>
<td style=""border: 1px solid #000; padding: 5px 8px; vertical-align: middle;""><ul style=""margin:0; padding-left:15px;"">
<li>Seiko 5 Sports SKX Mid-Size</li>
<li>Automatic with manual winding capability</li>
<li>Blue uni-directional rotating bezel</li>
<li>Navy blue dial</li>
<li>Day/date calendar</li>
<li>Luminous hands and markers</li>
<li>Screwdown see-through caseback</li>
<li>Tri-fold push button release clasp with secure lock</li>
</ul></td>
</tr>
</tbody>
 </table>
 <br>
 <div><strong>Easy Returns</strong></div>
 <p>This item can be returned within 7 days.<span> </span><a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
 <div><strong>USA Shipping</strong></div>
 <p>All of our items ship from the United States.<span> </span><a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
 <div>
 <div><br></div>
 <div><br></div>
 </div>",Seiko,Apparel & Accessories > Jewelry > Watches,Wristwatches,"Jewelry & Watches, Parts & Accessories, seiko, SwiftCommerce_Seiko, Watches, Wristwatches",FALSE,Title,Default Title,,,,,,,,'4954628256188,90,shopify,deny,manual,350,,TRUE,TRUE,,,,,'4954628256188,https://cdn.shopify.com/s/files/1/0080/6662/9747/files/SRPL77_1.webp?v=1772022471,1,Seiko 5 Sports Blue Stainless Steel Bracelet Men's Watch Srpl77_1,FALSE,,,Stainless steel bracelet,Stainless steel case,Men,Blue,,,,20 mm,https://seikousa.com/collections/all/products/srpl77,"10 bar, 100 meters (330 feet)",,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,g,,,draft
